,0 Allgemeiner Diskurs der Literaturvermittlung (Institutionalisierung),1 Methodik,2 Unterstufe,3 Goethes und Lessings Dramen,4 Mittelalterliche Literatur,5 Oberstufe,6 Schiller Drama,7 Lyrik Drama Handlung (Religion Weltmodell),8 Lesebücher,9 Kanon Poetologie,10 Interdiskurs (Pädagogik Religion Nation Ästhetik),11 Sprachdidaktik,12 Mythos Fabel Phantastik ,13 Handlung (Religion Welt),14 Lyrik Epik (Form),15 Schillers Lyrik Dramen,16 Literaturvermittlung (Idealistische Poetologie),17 Literaturvermittlung (Praxis Methode),18 Drama Deklamation,19 Allgemeiner Diskurs der Literaturvermittlung (Verfächerung),20 Lyrik Drama Handlung (Figuren),21 Handlung (Dynamik Natur),22 rauschen_Nathan,23 Allgemeiner Diskurs der Literatuvermittlung (Institutionalisierung Verordnungen),24 Mittelalterliche Literatur (Nibelungen),25 Lyrik Handlung Autoren Gattung,26 Literaturvermittlung Patriotisch,27 Literaturvermittlung (Institutionalisierung Idealismus),28 Literarästhetik Genieästhetik,29 Jugendliteratur
Z_R_1836_KRG_0159,0.03331973219695419,0.07525666369903085,1.4009400804650634e-05,0.018160611576714062,1.1049466138520831e-05,0.020942442935348644,0.008233374304173452,0.04207614014158258,0.3617234702485247,5.078515725900572e-05,0.07052234175080149,0.006072681998005785,0.01989891835850336,0.013440056815810949,0.002185269150070703,1.2621940940251105e-05,0.029591238433431265,0.07573474429889812,1.4926238393799265e-05,1.0980092254841309e-05,0.019109497141038802,0.020362721860824114,1.4860306708274509e-05,0.014790747857119263,1.9945761866047663e-05,0.003511392334978907,0.09988151191200796,5.6802481675786214e-05,0.06495794032519456,2.2521814945026687e-05
Z_R_1836_POL_0133,0.06930513204517767,0.051350593263792904,5.603158216244089e-06,6.96969607395661e-06,4.419311563890101e-06,0.12257947730004423,1.0296007479665805e-05,0.012336532088987367,0.22363141188734043,0.020234832037459516,0.0606873569356719,9.980331513192172e-06,1.112299242080538e-05,1.946111707931056e-05,0.029899991401706093,5.048233901683941e-06,0.19134707352418467,0.044112536864489266,5.969853847430128e-06,4.3915649920165464e-06,0.0009048041696233237,0.004515966373623881,5.943484006877332e-06,0.04444419332830024,7.97744750381421e-06,2.2216606507981894e-05,0.00021036638058277962,0.021792201797627628,0.1025191230382612,9.007758020033477e-06
Z_R_1836_POL_0136,0.11461228813896424,0.0001284336355780979,1.9549254395255792e-05,2.43170648318273e-05,0.0006182211296121237,0.23538226713704208,3.592246759906146e-05,0.0014484405932399067,0.20336164246183808,7.086755333816955e-05,0.0025640137016570293,3.482108342661915e-05,3.880779376181619e-05,0.0006707015471260215,3.539685336434549e-05,1.761313976547453e-05,0.19319892226805693,0.04480013215609137,2.0828644678918005e-05,1.5322041232628118e-05,0.0031568351645996037,8.321468159288228e-05,2.0736641079977247e-05,0.12552717295975158,2.7833079962785863e-05,0.0036943267758132903,0.00013115983986743327,0.04709784230789559,0.023130942080753555,3.142780308327258e-05
Z_R_1836_ROS_0125,0.017533696429724778,0.031835666127568635,5.107838607638299e-05,0.011088568681155757,4.028644088574654e-05,0.011781119573066523,9.385839642490424e-05,0.02898456784547928,0.6636446745078451,0.011210196021815267,0.008274272058937411,9.098069455244418e-05,0.009551425422237959,0.008052431055055266,9.248506901991736e-05,0.004771033812299526,0.01968962574748072,0.03830376588971073,5.442118317390966e-05,4.00335031574588e-05,0.00037317060194055874,0.00021742372101188806,5.4180795727304374e-05,0.08227726830127668,7.272240543245608e-05,0.006502545389324838,0.017667746819701895,0.00020710229720669577,0.02578653340210272,0.0016571194206072856
Z_R_1839_BEN_0522,0.024812343985157213,0.031305113837313055,7.240726239671898e-06,9.00664576968951e-06,5.710890888138102e-06,0.09387981299927307,1.3305098418557077e-05,0.008574133063498525,0.0038760335492162784,2.6248190474290363e-05,0.00027986450474934844,1.2897163613672771e-05,1.4373776355539678e-05,0.00024841695714198,1.3110419444909029e-05,6.523620834042108e-06,0.1968111867787768,0.15702892144904765,7.714591616345412e-06,5.675035157624667e-06,5.289959955478098e-05,0.0002540895383737665,7.680514977946545e-06,0.07551808799007723,1.0308920654607541e-05,2.8709588323322526e-05,0.00027184764610333866,0.39186500040613004,0.01504210216511838,1.1640347700192462e-05
Z_R_1841_JAC_0172,0.06333854396825646,0.23655199030735255,1.5429057196348814e-05,0.0004949477901509932,1.2169174643341133e-05,0.044473676302467784,0.10754915894498092,0.0901094993859337,0.11149833485173948,0.024319476574092943,0.022005365638447492,0.022388004110021346,0.01906086008455638,0.006714169824132045,2.7936619171613806e-05,0.028559248118944693,0.011180885306058872,0.06295190023496855,1.6438803423185356e-05,0.007148429550994259,0.00011272224914715853,0.0019686995122835936,1.6366190485544553e-05,0.022474408029479073,2.196698523707324e-05,6.117644358616759e-05,0.11095461460396358,6.255861695236271e-05,0.005886218636147238,2.4804085185216884e-05
Z_R_1842_CAD_0197,0.0416913440736016,0.043022414736002317,8.496545684503475e-06,1.056874334331614e-05,6.701378249107611e-06,0.17749396831749695,1.5612712428029553e-05,0.010585199217826278,0.07240406680228366,3.08006327153259e-05,0.018143821004875115,1.513402609308595e-05,1.6866740078438976e-05,2.951054815058783e-05,0.004731230016243373,7.655066717082385e-06,0.04859975416328884,0.2618132182709191,9.052597479301534e-06,6.659303760682752e-06,6.207441759730209e-05,3.616697238064067e-05,9.012610645751063e-06,0.28720532308409435,1.2096882605488956e-05,0.0005576717921319443,0.0016289535991325882,0.0031783472380666655,0.02865461927597822,1.365923013030138e-05
Z_R_1842_JAC_0171,0.027410989546399252,0.2751423835725961,1.773212978608667e-05,2.205676702019323e-05,0.004388154841967404,0.039630002176972115,0.03940010616820227,0.064739259746121,0.11939318830456809,0.03888503192087128,0.02146267603719788,0.0016718978728025153,0.004409369759414266,6.158795459891221e-05,0.0011256489752200598,0.13397490750221405,0.013396610698395229,0.049384249185872704,1.8892599341511866e-05,1.3897840717171669e-05,0.016532682605079323,0.013744758512635364,0.0005655802966516729,0.003411512624980762,2.5245964693488222e-05,7.030816100531674e-05,0.07229276006682904,0.006633150438235036,0.05214685117524938,2.8506554362472523e-05
Z_R_1842_OLA_0144,0.13500507791970012,0.07230776447466404,4.924236954934277e-06,6.125194693331929e-06,3.883834166093451e-06,0.18911257534434117,9.048464912639093e-06,0.0913164691451373,0.008861396809439967,1.7850738345206562e-05,0.11133655295975917,0.0007679665584862424,9.77524606911755e-06,1.710306013284081e-05,0.01078949245032578,4.436551490506975e-06,0.051701414164594874,0.18043341042563785,5.24650095473788e-06,3.859449579879842e-06,0.009298161037626368,0.002754064712280473,5.223326284608212e-06,0.09144348773695866,0.002436436502781709,1.9524673506929946e-05,0.0200757994098711,1.9965798916041432e-05,0.022073207858865785,0.00015975541352248438
Z_R_1843_BEC_0029,0.007861356488451042,0.0006301881428273965,1.684778883924019e-05,2.0956746748160544e-05,1.3288153782161425e-05,0.08596729321425763,3.0958426160759775e-05,0.022028381978743437,0.2661725033627771,6.107453256553978e-05,0.05675745589220243,0.001588516588901418,3.3445035876894204e-05,5.851642564320405e-05,3.0505445322802976e-05,1.5179221343436642e-05,0.12442151847325106,0.22770819880613988,1.795038318408372e-05,1.3204724336499295e-05,0.00012308727791643444,0.010981266884707718,0.005732398040489236,0.11389539465971948,2.3986892005073203e-05,0.00422282133378698,0.00011303516960786674,6.831100274472601e-05,0.071365274038889,2.7084868779276533e-05
