,0 Oberstufe (Rhetorik),1 Kanon (Poetologie),2 Literaturvermittlung (Lesebuch Methode),3 Handlung (Ballade Drama),4 Unterstufe,5 Literaturvermittlung (patriotisch),6 Handlung (Hermann und Dorothea),7 _rauschen (Wackernagel),8 Schiller (Drama),9 Mittelalterlive Literatur,10 Literaturvermittlung (idealistische Poetologie),11 Literaturvermittlung (Sprache),12 Handlung (Religion Welt) ,13 Lyrik (Poetologie),14 _rauschen (Handlung Methode),15 Literaturvermittlung (Praxis Methode [Rhetorik]),16 Prosa (Unterstufe Fabel Volkslied),17 Oberstufe,18 Literaturvermittlung (Ästhetik),19 Literaturvermittlung (Methode),20 Deklamation,21 Lesebuch (Form),22 Prosa (Unterstufe Jugendliteratur),23 _rauschen (Nathan Religion Nation),24 Drama (Handlung Poetologie),25 Handlung (13),26 Lyrik (patriotisch),27 Handlung (Welt),28 Allgemeiner Diskurs der Literaturvermittlung (Verordnungen),29 Mittelalterliche Literatur (Nibelungen
Z_L_1886_LEH_0398,7.2185673535417244e-06,0.10063949279443934,0.24245756086660097,0.009721619490284664,1.251186746395073e-05,0.014274563151745868,0.0007269979925829229,1.305947004779905e-05,6.884962920376158e-05,1.0430307518538706e-05,0.030516616608867713,0.003528907900596699,4.4475118917324864e-05,0.010785252581807821,2.066538645495383e-05,6.479463815955343e-05,2.6187871295026442e-05,0.5459385522198169,0.01258801341613509,0.0015321550637905927,0.000366150622610743,0.002190580750675662,1.5805866016957655e-05,1.5056833814031844e-05,0.02356725364483137,8.00429427309051e-06,3.180978048227366e-05,0.0007875743316092428,2.2824983665864746e-05,1.701394893781492e-05
Z_M_1877_GRI_0694,1.5068126521241926e-05,9.802360871791024e-05,0.0017285306472668426,8.895056700104312e-05,2.6117426454616264e-05,0.03629106705479654,0.0210000482216879,2.726049884178974e-05,0.00014371756513068546,0.023833721252995033,0.030508348255652788,0.0001505437831076929,0.08307387195874195,0.0008660429819526156,4.3137182554766e-05,0.005907846799648883,5.4664885519402966e-05,0.00023319085371534365,0.11647315059236324,0.059481027686546124,4.2733116312988143e-05,0.0009647742301345021,0.1580577451535058,3.142982060115151e-05,0.03404151752480252,1.670826258357261e-05,0.035423536374204284,0.21378680984972048,4.764515240739346e-05,0.17754277056651088
Z_M_1878_GRI_0696,1.196104511931169e-05,7.781092128340078e-05,0.00022653577491553564,0.0052256646957762505,0.056726347236470444,0.00016856819362280894,5.9055503499468155e-05,2.1639322988291227e-05,0.00011408268164873776,0.54129815598906,0.008179506789446747,0.004701773260168458,0.03730465405507382,0.0012602469741448505,3.424219899734522e-05,0.00010736362945143693,4.339286381872618e-05,0.005912946305393839,0.02028534325864328,0.10392152197720982,0.041847152922526235,0.0013386196180514912,2.619005507870864e-05,2.494892127248083e-05,0.023585376490622978,1.3262981455968531e-05,5.270827311699148e-05,0.06030174872024464,3.782061538028184e-05,0.08709135872551768
Z_M_1880_HAR_0101,0.003237123763218417,0.008872889608241697,0.24649936931732652,2.0979559464743206e-05,6.159961873702881e-06,0.0068576011328476665,0.0029107408847522023,6.4295627984381974e-06,0.019775691575368383,5.1351484364994506e-06,0.011790661774508425,0.0403700358860473,2.1896414555898444e-05,0.002757080071878123,0.0020524288217517277,0.03475022922247244,1.2893062462145355e-05,0.09399871306960188,0.019812481719335143,0.07784943791129695,0.3982497340051987,0.015374270091146426,7.781694645171041e-06,7.412923970010631e-06,0.002242521222185823,3.940750466722656e-06,1.5660894390563807e-05,0.011449958745810345,1.1237413563939866e-05,0.0010295037903839768
Z_M_1881_SCH_0102,3.325954007595787e-05,0.00021636532836031956,0.10893451614593076,0.00019633860545169695,5.764841373103873e-05,0.00046872999268915655,0.00016421298187189356,6.0171491952961146e-05,0.009873512666637578,4.805762887939196e-05,0.00044638102689174234,0.0003322919395717909,0.0814333677857079,0.0019115973857233722,0.020800506595254387,0.00029854121448593334,0.00012066058432129362,0.03236901059773872,0.007032386318870083,0.12492028893866546,0.493835874964563,0.0005368099899164119,0.004850969550941726,6.937434301407811e-05,0.00028149345964952174,3.6879775877549414e-05,0.016073710333845016,0.09441348456711064,0.00010516608376528383,7.839174850532e-05
Z_M_1882_ZOE_0367,4.56058968484767e-06,0.0334441073790458,0.2877126253693826,2.6922194856436173e-05,7.90482250834415e-06,0.017972665036826662,2.2517089218091565e-05,8.250790146101142e-06,0.0004802882843232532,6.58972210815457e-06,0.07213156715624353,0.07058715793071436,0.0004648888103360782,4.372559483793267e-05,1.305610153427634e-05,4.093634428428674e-05,1.654513005792177e-05,0.4554242094384105,0.0038034249452190494,0.03438243319088462,0.001323303965540015,0.0013839782170149899,9.985924628334183e-06,9.512696580305217e-06,0.016418225742160633,0.000441847054468998,2.0096973490667518e-05,0.003336713772693289,0.0004512105583135461,1.0749174486299292e-05
Z_M_1884_ISR_0103,0.017566629546082544,0.006955973446099264,0.17584826642406884,0.00694371644292996,3.528269667637166e-05,0.06364842160404519,0.0001005036644501639,3.682690228123321e-05,0.007017702575761285,2.941282566157217e-05,0.0031975785869609546,0.07331284689026134,0.00792376093541763,0.0011699595246886859,5.827511872955103e-05,0.09571242888058366,0.028342844590420482,0.15823148613552743,0.12810275662595913,0.12616970547260425,5.772925535091444e-05,0.08513553431569343,4.457156999068765e-05,4.24593452494322e-05,0.00017228311605474572,2.2571617527084706e-05,8.970162442430812e-05,0.01391842692694511,6.436505003319101e-05,4.797828952151083e-05
Z_M_1884_LEH_0389,5.139803575157048e-06,0.029569288884712417,0.4359973031485052,0.007168172471951851,8.90876789998402e-06,0.002287624706256479,2.5376853359510872e-05,9.2986748691069e-06,0.0002951547923690059,7.426644269997639e-06,0.015329172548745827,0.0005436153500886901,3.1667415987279515e-05,4.927892755197106e-05,1.4714280823473897e-05,0.009399155422110676,1.864643050561674e-05,0.4714225235689784,0.0015790226036454043,0.0015831975890855594,1.4576452068773548e-05,8.295658626220288e-05,1.125417865950271e-05,1.0720848677810856e-05,0.01899567302312679,5.699261128491717e-06,2.2649372852015185e-05,0.005237282953491147,0.0002623840740124122,1.211436442928178e-05
Z_M_1884_ON_0822,1.4896147705255986e-05,0.02506375517825027,0.0009954636241261857,8.793533706037651e-05,2.581933736756667e-05,0.05727701940825633,7.354704326932282e-05,2.6949363392575934e-05,0.024395589028930652,2.1523855607049647e-05,0.21134814345678246,0.00014882556408846666,0.006511825547772554,0.14138385903528783,0.051403022710736754,0.00013370942643622515,0.12132159983409309,0.040890828496944795,0.10943708526755083,0.008868445188082427,0.0007555839669633337,0.010940503000794966,3.2616792677367986e-05,3.107109894282082e-05,0.017959538685738803,0.023556690755015527,0.045005972912713396,0.05441228383597772,4.710135840042504e-05,0.047828794741034596
Z_M_1885_BAU_0377,2.8888484330927515e-05,0.0015713259829907803,0.25370859159957515,0.009854306936226843,5.007210842268318e-05,0.039142214926375776,0.00014263168230550037,5.2263597105727185e-05,0.001658930048565068,4.174176960033808e-05,0.0031545083688030878,0.00028862126378447015,0.00017798805677540606,0.0002769743056545755,8.270224042497669e-05,0.11369777420909465,0.00010480305474957357,0.2342409874099213,0.04899344622725788,0.0005980535912011715,8.192756805427414e-05,0.12773868859861662,0.09966776313132533,6.02569854109105e-05,0.019612042180583746,3.203293927497347e-05,0.012577865330012948,0.00038505632629364466,0.03190945177737353,6.808929988803299e-05
