,0 Allgemeiner Diskurs der Literaturvermittlung (Verordnungen Verfächerung),1 Allgemeiner Diskurs der Literaturvermittlung,2 Literaturvermittlung (Oberstufe),3 Kanon Poetologie,4 Goethes und Lessings Dramen,5 Lyrik (Ästhetik),6 Handlung,7 Interdiskurs (Pädagogik Religion Staat Ästhetik),8 Lyrik (Deklamation),9 Jugendliteratur,10 Mittelalterliche Literatur (Handlung) ,11 Handlung (Robinson),12 Literatur (Patriotisch),13 Literaturvermittlung (Idealistische Poetologie),14 Rauschen,15 Lesebuch Kanon,16 Schiller (Wallenstein Wilhelm Tell ),17 Diskurs der Literaturvermittlung (Methode),18 Prosa (Unterstufe),19 Handlung (Figuren),20 Schiller (Maria Stuart) ,21 Lesebuch (Form),22 Religion Schiller (Johanna) Nation,23 Literaturvermittlung (Patriotisch) ,24 Lyrik (Unterstufe),25 Rauschen (Praxis),26 Mittelalterliche Literatur ,27 Handlung (Idylle Natur),28 Mittelaterliche Literatur (Nibelungen),29 Rauschen
Z_R_1843_ECH_0044,0.06255205421455666,3.3984970289735296e-05,0.002311797904847478,0.08395785754225163,5.134469899706057e-05,0.0625405873452078,0.1925963534904051,0.00014563000854876402,0.057537870996939106,3.445230204271809e-05,0.0001720566876292067,9.833107851647971e-05,8.106446238575361e-05,0.13479175829961562,4.059186590303891e-05,4.131098454444585e-05,3.550688893854937e-05,0.0011244362836300601,0.12281751430380246,0.0001769269522097888,6.389683190819135e-05,0.11622277996681774,0.004131545436686389,0.004108836841622466,3.685579897029047e-05,0.15409965821350116,2.816716517423396e-05,6.837461855288577e-05,4.318569716692418e-05,5.526814833827672e-05
Z_R_1843_ECH_1045,0.0003979567633021709,5.788216550352459e-05,0.0006205463717143365,0.33537103038564664,8.744872629693451e-05,0.18777973724426594,0.15057344030513212,0.00024803259162022105,0.000150046129192876,5.867811070049221e-05,0.00029304170591992426,0.00016747449570523904,0.00013806652141413366,0.18977116590747062,6.913482872769272e-05,7.035960967832247e-05,6.047425095666867e-05,0.0002566869273795976,0.00021829346396178971,0.0003013365921033132,0.00010882713647032085,0.0005952736940764244,0.0004030475462800031,0.00036437095934652863,6.277167340667992e-05,0.13144276528166973,4.7973457162990586e-05,0.00011645356619640354,7.35525630739184e-05,9.413102562445694e-05
Z_R_1843_HIE_0036,0.008332573482590318,1.6869159682150526e-05,0.011297418958742403,0.04795753758511778,2.5486028642342976e-05,0.0001102885675668502,0.13571558599683797,0.016988801727239013,4.372939559231046e-05,1.7101129694141007e-05,0.03101846032527298,0.0005321377185064641,4.023806255749456e-05,0.24042185656856094,2.0148632229983868e-05,2.050558199597995e-05,0.005334243655499785,7.480875548830906e-05,0.10011272349217633,0.026670916735740513,0.01791488974497611,0.015156685540810533,0.059083602704478454,0.11223852140510811,1.829415629151964e-05,0.1543065984955385,1.398136891298612e-05,3.3939189846022544e-05,0.016454622318496422,2.743351580733232e-05
Z_R_1843_HOF_0027,0.14290574172456644,1.7067136695037716e-05,0.03539107299338052,0.033361326338351954,2.5785133512771542e-05,0.0030455911407800077,0.21359256237490198,0.16046558441748326,4.424260521732151e-05,1.7301829114718836e-05,0.0015534103958454227,0.0010273842747666043,0.0024857171502470064,0.1747832635161762,0.0034433946906899274,2.0746236180750813e-05,1.7831439073312335e-05,0.07000288269396895,0.0005533673864608855,8.885211470415532e-05,3.208877204422131e-05,0.005065536120500453,0.015766886464836805,0.04802957273801766,1.850885711148513e-05,0.08814635531241338,1.4145454718421685e-05,3.433750129437741e-05,2.1687710494807052e-05,2.7755476451185608e-05
Z_R_1843_H_0046,0.3074414133016233,6.26625171910255e-05,0.12096249492934015,0.00040105285021802624,9.467091058611596e-05,0.005795830819700921,0.15403202816929362,0.04156233909631982,0.0001624380855174276,6.352419762668682e-05,0.0021126268986284575,0.00018130581976150907,0.00014946911015434322,0.04745016539340808,7.484451136134242e-05,7.617044408529009e-05,6.546867687519209e-05,0.0038686532331522953,0.00023632180688473408,0.00032622327134269186,0.00011781491329149235,0.027575189474760946,0.03634400566516097,0.03809751843860629,6.795583803297758e-05,0.21231827278197,5.193547197203208e-05,0.00012607119188196258,7.962709597972361e-05,0.00010190508527263414
Z_R_1843_NA_0045,0.11089144123889441,8.370109777823926e-05,0.012888213930111643,0.04610099673876852,0.0001264561255904721,0.060501560355349225,0.1290058521939131,0.002756843367172043,0.00021697574065459736,8.485208247582197e-05,0.0028219292575173516,0.0026403515081624123,0.00019965250622978287,0.001028780359938482,9.997312659053967e-05,0.00010174423361830532,8.744940947452424e-05,0.021954744456003154,0.014704705296053586,0.0004357508628156798,0.0001573705944030972,0.12316763990470847,0.04135177712482263,0.29310404492475467,9.077162071962018e-05,0.0653691443012803,6.93725086791222e-05,0.00016839887115550805,0.05526434733091667,0.014525158931447983
Z_R_1843_PAS_0035,0.010492940589808335,5.058381064320138e-05,0.0005423017589107352,0.045252321881662214,7.642232756001368e-05,0.00033071096148402034,0.19245862730006402,0.00021675819380143573,0.1291196169484374,0.011645750416921785,0.035039505179753724,0.00014635765791802665,0.00012065773135168513,0.0020710406387289696,6.041762699771176e-05,0.0015107968531883446,0.007299393448941101,0.0002243213054695424,0.0001907688689535863,0.006060576610522232,9.510513672335461e-05,0.4454580411680881,0.009048080598896535,0.026405987270437727,5.48568011189393e-05,0.0655926619422475,4.192449007258864e-05,0.00010176995089870466,0.010209440473780265,8.226205661825017e-05
Z_R_1844_ECH_0065,0.12326664461179468,0.0001579391056028523,0.00621845603678088,0.0010108423871612606,0.0002386153575509445,0.0010325871618939739,0.12124577621122085,0.0006767895661828655,0.0004094206088825377,0.00016011094681550177,0.0007996028575418215,0.0004569762004043115,0.0003767326725970108,0.2010506471543437,0.00018864347800866702,0.0001919854540079944,0.00016501195186826735,0.000700404060173065,0.0051208560433474055,0.005347450146574877,0.0002969491630093798,0.13738069062495042,0.0010997682692264108,0.2046288461351958,0.00017128077135333993,0.18670076551428413,0.00013090189095530825,0.00031775888012003557,0.0002006978475258441,0.00025684889062591504
Z_R_1844_E_0049,0.06240957404891922,0.0003490759217661918,0.0037423927529397216,0.002234156871484033,0.0005273860173307272,0.0022822170226064987,0.04794146876388364,0.0014958356307974326,0.0009048986056380855,0.00035387611023339645,0.0017672767202136894,0.0010100056459890845,0.0008326519543356687,0.1043064934135272,0.00041693851386395686,0.0004243249261652852,0.0003647082777947152,0.0015480282225257868,0.0013164848185121315,0.021820493313848898,0.0006563149917782389,0.3436442383332842,0.002430700242628737,0.15222138766197774,0.00037856357937936626,0.24261761405254878,0.00028931845645032285,0.000702308484994302,0.00044358099822182,0.0005676856463612003
Z_R_1844_M_0061,0.10498141487645156,7.75627996198541e-05,0.007498442684428832,0.0004964176872053143,0.00011718234754654397,0.00495169843852228,0.19065872026037456,0.00033236666312805546,0.00020106362212058418,7.862937577995001e-05,0.00039267941893333735,0.00022441784336888,0.0001850108032672457,0.18095971654218365,9.264150400579673e-05,9.428272524597522e-05,8.1036225378044e-05,0.035900779923168064,0.0002925158735217178,0.009292998752870549,0.009035033761369328,0.2985860108227982,0.06498681819801189,0.02937817475944112,8.411479915948841e-05,0.06057523706791446,6.428501098111326e-05,0.00015604918270307376,9.85613212912987e-05,0.0001261367092092732
